	0	1	2	3	4	5	6
18	$1,099,000	3073 Middlefield Rd Apt 101, Palo Alto, CA 94306	1bed1bath876sqft	1bed	1bath	876sqft	1bed1bath876sqft
19	$998,000	777 San Antonio Rd Apt 4, Palo Alto, CA 94303	2bed1bath946sqft	2bed	1bath	946sqft	2bed1bath946sqft
20	$2,395,000	678 Hawthorne Ave, Palo Alto, CA 94301	2bed2bath773sqft2,000sqft lot	2bed	2bath	773sqft	2,000sqft lot
21	$5,968,000	919 Amarillo Ave, Palo Alto, CA 94303	6bed5bath3,456sqft7,670sqft lot	6bed	5bath	3,456sqft	7,670sqft lot
22	$2,998,000	3661 Park Blvd, Palo Alto, CA 94306	5bed4bath2,871sqft5,000sqft lot	5bed	4bath	2,871sqft	5,000sqft lot
23	$4,488,000	10 Crescent Dr, Palo Alto, CA 94301	5bed4bath3,072sqft7,605sqft lot	5bed	4bath	3,072sqft	7,605sqft lot
24	$4,988,888	3424 Cowper Ct, Palo Alto, CA 94306	6bed5.5bath3,853sqft6,382sqft lot	6bed	5bath	3,853sqft	6,382sqft lot
25	$2,500,000	971 Oregon Ave, Palo Alto, CA 94303	4bed2bath1,639sqft7,084sqft lot	4bed	2bath	1,639sqft	7,084sqft lot
26	$2,998,000	47 Roosevelt Cir, Palo Alto, CA 94306	4bed2bath1,664sqft6,504sqft lot	4bed	2bath	1,664sqft	6,504sqft lot
27	$1,688,000	767 Loma Verde Ave Unit B, Palo Alto, CA 94303	3bed2.5bath1,494sqft	3bed	5bath	1,494sqft	3bed2.5bath1,494sqft
28	$6,500,000	606 Santa Rita Ave, Palo Alto, CA 94301	4bed2.5bath2,697sqft8,508sqft lot	4bed	5bath	2,697sqft	8,508sqft lot
29	$3,998,000	872 Boyce Ave, Palo Alto, CA 94301	4bed3bath2,410sqft6,380sqft lot	4bed	3bath	2,410sqft	6,380sqft lot
30	$1,598,000	436 High St Apt 105, Palo Alto, CA 94301	2bed2bath1,015sqft	2bed	2bath	1,015sqft	2bed2bath1,015sqft
31	$4,450,000	530 Jefferson Dr, Palo Alto, CA 94303	2bed2.5bath1,968sqft0.24acre lot	2bed	5bath	1,968sqft	2bed2.5bath1,968sqft0.24acre lot
32	$2,988,000	3760 El Centro St, Palo Alto, CA 94306	3bed2bath1,686sqft7,620sqft lot	3bed	2bath	1,686sqft	7,620sqft lot
33	$4,488,000	118 Churchill Ave, Palo Alto, CA 94301	5bed5bath3,713sqft7,500sqft lot	5bed	5bath	3,713sqft	7,500sqft lot
34	$5,695,000	776 Rosewood Dr, Palo Alto, CA 94303	4bed3.5bath3,000sqft8,094sqft lot	4bed	5bath	3,000sqft	8,094sqft lot
35	$3,488,000	3349 Saint Michael Ct, Palo Alto, CA 94306	4bed3bath2,383sqft8,910sqft lot	4bed	3bath	2,383sqft	8,910sqft lot
36	$4,798,000	2388 Waverley St, Palo Alto, CA 94301	4bed2.5bath2,046sqft7,386sqft lot	4bed	5bath	2,046sqft	7,386sqft lot
37	$2,900,000	3421 Kenneth Dr, Palo Alto, CA 94303	3bed2bath1,479sqft8,801sqft lot	3bed	2bath	1,479sqft	8,801sqft lot
38	$3,200,000	290 Curtner Ave, Palo Alto, CA 94306	8bed3,120sqft6,749sqft lot	8bed	8bed3,120sqft6,749sqft lot	3,120sqft	6,749sqft lot
39	$4,200,000	4211 McKellar Ln, Palo Alto, CA 94306	10bed4,266sqft8,919sqft lot	10bed	10bed4,266sqft8,919sqft lot	4,266sqft	8,919sqft lot
40	$4,280,000	1031 Embarcadero Rd, Palo Alto, CA 94303	5bed4bath3,085sqft6,050sqft lot	5bed	4bath	3,085sqft	6,050sqft lot
41	$4,050,000	220 Matadero Ave, Palo Alto, CA 94306	4bed4bath2,618sqft6,000sqft lot	4bed	4bath	2,618sqft	6,000sqft lot
